id,URL,headline,author,date
1,https://www.theverge.com/2023/4/14/23682385/tiktok-ban-restrict-act-bytedance-china-free-speech,Inside the US government’s fight to ban TikTok,Makena Kelly,Apr 14
2,https://www.theverge.com/2023/4/14/23684043/spacex-starship-faa-launch-license,SpaceX’s Starship rocket receives clearance for launch,Jay Peters,Apr 14
3,https://www.theverge.com/23683762/macbook-air-15-m2-m3-summer-wwdc-rumor,A bigger MacBook Air may cure Apple’s slumping laptop sales,Emma Roth,Apr 14
4,https://www.theverge.com/23680537/kia-ev6-gt-review-ev-specs-price-photos,"Kia EV6 GT review: the attainable, guilt-free supercar",Tim Stevens,Apr 14
5,https://www.theverge.com/2023/4/14/23683489/instagram-reels-updates-editing-trending-audio-hashtags-analytics-gifts,Instagram is adding TikTok-like Reels updates for editing and discovery,Mia Sato,Apr 14
